fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
721843,"Fernando Guerrero Ramirez, Mexico",UTC,2021-10-19T22:00:00+00:00,1634680800,1634680800,1634684400,1084.0,Estadio La Corregidora,Santiago de Querétaro,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,True,2282,Monterrey,https://media.api-sports.io/football/teams/2282.png,False,1,0,1,0,1,0,,,,
721840,"Jorge Antonio Perez Duran, Mexico",UTC,2021-10-20T00:00:00+00:00,1634688000,1634688000,1634691600,1082.0,Estadio Cuauhtémoc,Puebla,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,False,2,0,0,0,2,0,,,,
721841,"Marco Antonio Ortiz Nava, Mexico",UTC,2021-10-20T00:05:00+00:00,1634688300,1634688300,1634691900,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2287,Club America,https://media.api-sports.io/football/teams/2287.png,True,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,False,2,1,0,0,2,1,,,,
721842,"Jorge Isaac Rojas Castillo, Mexico",UTC,2021-10-20T02:05:00+00:00,1634695500,1634695500,1634699100,1071.0,Estadio Jalisco,Guadalajara,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,,2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,,0,0,0,0,0,0,,,,
721844,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2021-10-21T00:00:00+00:00,1634774400,1634774400,1634778000,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2281,Toluca,https://media.api-sports.io/football/teams/2281.png,,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,,1,1,0,0,1,1,,,,
721845,"Erick Yair Miranda Galindo, Mexico",UTC,2021-10-21T00:00:00+00:00,1634774400,1634774400,1634778000,,Estadio Leon,Leon,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2289,Leon,https://media.api-sports.io/football/teams/2289.png,False,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,True,1,2,0,1,1,2,,,,
721846,"Luis Santander, Mexico",UTC,2021-10-21T02:00:00+00:00,1634781600,1634781600,1634785200,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,False,3,0,2,0,3,0,,,,
721847,"Juan Andres Esquivel Gonzalez, Mexico",UTC,2021-10-21T02:06:00+00:00,1634781960,1634781960,1634785560,1088.0,Estadio Caliente,Tijuana,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 14,True,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,,2278,Guadalajara Chivas,https://media.api-sports.io/football/teams/2278.png,,0,0,0,0,0,0,,,,
721848,Ó. Macías,UTC,2021-10-23T02:00:00+00:00,1634954400,1634954400,1634958000,10546.0,Estadio de Mazatlán,Mazatlán,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,True,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,False,2,1,0,1,2,1,,,,
721852,"Eduardo Galvan Basulto, Mexico",UTC,2021-10-23T22:00:00+00:00,1635026400,1635026400,1635030000,1082.0,Estadio Cuauhtémoc,Puebla,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,False,2289,Leon,https://media.api-sports.io/football/teams/2289.png,True,0,1,0,0,0,1,,,,
721849,F. Guerrero,UTC,2021-10-24T00:00:00+00:00,1635033600,1635033600,1635037200,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2287,Club America,https://media.api-sports.io/football/teams/2287.png,True,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,False,1,0,0,0,1,0,,,,
721850,M. Ortíz,UTC,2021-10-24T02:00:00+00:00,1635040800,1635040800,1635044400,1076.0,Estadio AKRON,Zapopan,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2278,Guadalajara Chivas,https://media.api-sports.io/football/teams/2278.png,,2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,,1,1,0,1,1,1,,,,
721851,"Fernando Hernandez, Mexico",UTC,2021-10-24T17:00:00+00:00,1635094800,1635094800,1635098400,1083.0,Estadio Olímpico de Universitario,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,True,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,False,3,1,1,0,3,1,,,,
721853,L. Santander,UTC,2021-10-24T22:06:00+00:00,1635113160,1635113160,1635116760,11905.0,Estadio BBVA,Guadalupe,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2282,Monterrey,https://media.api-sports.io/football/teams/2282.png,False,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,True,0,1,0,0,0,1,,,,
721855,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2021-10-25T00:00:00+00:00,1635120000,1635120000,1635123600,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2314,Atletico San Luis,https://media.api-sports.io/football/teams/2314.png,False,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,True,2,6,0,4,2,6,,,,
721854,"Jorge Isaac Rojas Castillo, Mexico",UTC,2021-10-25T00:06:00+00:00,1635120360,1635120360,1635123960,1085.0,Estadio Nuevo Corona,Torreón,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,,2281,Toluca,https://media.api-sports.io/football/teams/2281.png,,2,2,1,0,2,2,,,,
721856,"Diego Montano, Mexico",UTC,2021-10-25T02:00:00+00:00,1635127200,1635127200,1635130800,1081.0,Estadio Hidalgo,Pachuca de Soto,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 15,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,,1,1,0,1,1,1,,,,
721857,"Oscar Macias, Mexico",UTC,2021-10-29T00:00:00+00:00,1635465600,1635465600,1635469200,1071.0,Estadio Jalisco,Guadalajara,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 16,True,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,False,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,True,0,2,0,1,0,2,,,,
721858,"Oscar Mejia Garcia, Mexico",UTC,2021-10-30T00:00:00+00:00,1635552000,1635552000,1635555600,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 16,True,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,False,2,1,1,0,2,1,,,,
721859,"Erick Yair Miranda Galindo, Mexico",UTC,2021-10-30T02:00:00+00:00,1635559200,1635559200,1635562800,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 16,True,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,False,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,True,0,2,0,0,0,2,,,,
721860,"Jorge Antonio Perez Duran, Mexico",UTC,2021-10-30T23:00:00+00:00,1635634800,1635634800,1635638400,1084.0,Estadio La Corregidora,Santiago de Querétaro,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 16,True,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,False,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,True,2,3,0,2,2,3,,,,
721861,"Fernando Guerrero Ramirez, Mexico",UTC,2021-10-31T01:06:00+00:00,1635642360,1635642360,1635645960,1081.0,Estadio Hidalgo,Pachuca de Soto,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 16,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,,1,1,0,1,1,1,,,,
